metric_1,metric_2,spearman_rho,p_value,n
ngram_1_within,ngram_2_within,0.39999999999999997,0.6,4
ngram_1_within,ngram_3_within,0.7999999999999999,0.20000000000000007,4
ngram_1_within,ngram_4_within,0.7999999999999999,0.20000000000000007,4
ngram_1_within,ngram_1_cross_jaccard,1.0,0.0,4
ngram_1_within,ngram_2_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_1_within,ngram_3_cross_jaccard,0.39999999999999997,0.6,4
ngram_1_within,ngram_4_cross_jaccard,0.39999999999999997,0.6,4
ngram_1_within,mean_embedding_cosine,-0.39999999999999997,0.6,4
ngram_1_within,vendi_score,-0.6000000000000001,0.3999999999999999,4
ngram_2_within,ngram_3_within,0.7999999999999999,0.20000000000000007,4
ngram_2_within,ngram_4_within,0.7999999999999999,0.20000000000000007,4
ngram_2_within,ngram_1_cross_jaccard,0.39999999999999997,0.6,4
ngram_2_within,ngram_2_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_2_within,ngram_3_cross_jaccard,1.0,0.0,4
ngram_2_within,ngram_4_cross_jaccard,1.0,0.0,4
ngram_2_within,mean_embedding_cosine,-1.0,0.0,4
ngram_2_within,vendi_score,-0.39999999999999997,0.6,4
ngram_3_within,ngram_4_within,1.0,0.0,4
ngram_3_within,ngram_1_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_3_within,ngram_2_cross_jaccard,1.0,0.0,4
ngram_3_within,ngram_3_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_3_within,ngram_4_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_3_within,mean_embedding_cosine,-0.7999999999999999,0.20000000000000007,4
ngram_3_within,vendi_score,-0.7999999999999999,0.20000000000000007,4
ngram_4_within,ngram_1_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_4_within,ngram_2_cross_jaccard,1.0,0.0,4
ngram_4_within,ngram_3_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_4_within,ngram_4_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_4_within,mean_embedding_cosine,-0.7999999999999999,0.20000000000000007,4
ngram_4_within,vendi_score,-0.7999999999999999,0.20000000000000007,4
ngram_1_cross_jaccard,ngram_2_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_1_cross_jaccard,ngram_3_cross_jaccard,0.39999999999999997,0.6,4
ngram_1_cross_jaccard,ngram_4_cross_jaccard,0.39999999999999997,0.6,4
ngram_1_cross_jaccard,mean_embedding_cosine,-0.39999999999999997,0.6,4
ngram_1_cross_jaccard,vendi_score,-0.6000000000000001,0.3999999999999999,4
ngram_2_cross_jaccard,ngram_3_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_2_cross_jaccard,ngram_4_cross_jaccard,0.7999999999999999,0.20000000000000007,4
ngram_2_cross_jaccard,mean_embedding_cosine,-0.7999999999999999,0.20000000000000007,4
ngram_2_cross_jaccard,vendi_score,-0.7999999999999999,0.20000000000000007,4
ngram_3_cross_jaccard,ngram_4_cross_jaccard,1.0,0.0,4
ngram_3_cross_jaccard,mean_embedding_cosine,-1.0,0.0,4
ngram_3_cross_jaccard,vendi_score,-0.39999999999999997,0.6,4
ngram_4_cross_jaccard,mean_embedding_cosine,-1.0,0.0,4
ngram_4_cross_jaccard,vendi_score,-0.39999999999999997,0.6,4
mean_embedding_cosine,vendi_score,0.39999999999999997,0.6,4
